Year,Surgery,# of Cases
2017,Bladder,22
2017,Breast,290
2017,Pancreas,43
2017,Colon,67
2015,Breast,232
2021,Bladder,14
2014,Pancreas,11
2015,Esophagus,12
2014,Rectum,18
2014,Stomach,5
2019,Esophagus,57
2018,Bladder,16
2016,Colon,70
2019,Pancreas,53
2016,Esophagus,14
2020,Esophagus,41
2019,Rectum,45
2018,Stomach,4
2017,Liver,51
2019,Breast,369
2021,Colon,79
2016,Bladder,17
2019,Prostate,67
2019,Colon,84
2020,Rectum,49
2019,Stomach,5
2014,Lung,36
2018,Lung,103
2018,Pancreas,51
2020,Bladder,17
2014,Breast,126
2017,Prostate,34
2018,Liver,54
2017,Rectum,28
2016,Pancreas,32
2015,Liver,33
2020,Colon,78
2015,Bladder,13
2018,Breast,373
2020,Stomach,4
2015,Rectum,29
2020,Prostate,22
2018,Rectum,41
2015,Stomach,9
2021,Stomach,5
2020,Pancreas,55
2021,Liver,33
2021,Rectum,28
2014,Bladder,9
2016,Lung,97
2015,Colon,58
2014,Liver,13
2020,Breast,292
2021,Pancreas,41
2014,Esophagus,12
2019,Bladder,14
2017,Stomach,6
2018,Esophagus,45
2021,Prostate,19
2017,Esophagus,28
2021,Esophagus,36
2019,Lung,172
2021,Breast,401
2014,Colon,39
2014,Prostate,21
2020,Lung,177
2021,Lung,194
2016,Liver,54
2015,Lung,54
2016,Breast,326
2016,Rectum,37
2016,Prostate,40
2020,Liver,55
2016,Stomach,7
2018,Prostate,42
2014,Breast,57
2021,Colon,40
2017,Breast,107
2015,Rectum,5
2020,Colon,28
2016,Pancreas,1
2014,Pancreas,4
2020,Breast,99
2016,Colon,19
2014,Rectum,2
2021,Bladder,1
2021,Liver,2
2017,Rectum,7
2018,Bladder,1
2021,Rectum,25
2016,Liver,1
2019,Rectum,5
2018,Colon,34
2017,Liver,1
2017,Colon,27
2019,Liver,1
2015,Stomach,1
2015,Colon,23
2016,Breast,68
2014,Lung,7
2014,Stomach,2
2015,Lung,2
2019,Prostate,1
2016,Bladder,1
2020,Rectum,32
2020,Stomach,1
2015,Breast,46
2016,Stomach,6
2018,Prostate,1
2014,Prostate,1
2020,Prostate,4
2021,Breast,79
2019,Breast,145
2014,Liver,3
2019,Colon,27
2016,Rectum,11
2014,Colon,22
2021,Prostate,2
2014,Bladder,3
2018,Breast,118
2016,Colon,5
2021,Breast,8
2014,Breast,3
2018,Rectum,3
2019,Colon,5
2015,Rectum,2
2021,Colon,5
2020,Colon,9
2017,Colon,11
2014,Rectum,2
2015,Breast,3
2021,Rectum,1
2013,Colon,7
2021,Stomach,2
2020,Breast,2
2016,Rectum,1
2018,Colon,7
2018,Breast,1
2013,Breast,3
2015,Colon,3
2017,Breast,2
2020,Rectum,3
2019,Breast,7
2014,Colon,6
2016,Breast,4
2014,Colon,2
2013,Colon,2
2014,Breast,1
2018,Colon,12
2013,Breast,48
2015,Rectum,4
2017,Lung,7
2013,Colon,14
2018,Lung,2
2015,Lung,4
