Year,Surgery,# of Cases
2018,Colon,5
2018,Rectum,4
2018,Breast,26
2015,Breast,11
2015,Colon,8
2015,Rectum,2
2021,Breast,15
2020,Colon,3
2019,Colon,5
2017,Stomach,1
2017,Rectum,1
2017,Colon,6
2017,Breast,7
2021,Colon,4
2021,Rectum,4
2021,Stomach,1
2013,Colon,63
2013,Liver,12
2013,Lung,51
2013,Pancreas,9
2013,Prostate,50
2013,Rectum,21
2013,Stomach,11
2020,Bladder,1
2020,Brain,21
2020,Colon,45
2020,Prostate,56
2020,Rectum,17
2020,Stomach,6
2016,Stomach,9
2016,Rectum,18
2016,Prostate,59
2016,Pancreas,15
2016,Lung,50
2016,Liver,9
2016,Esophagus,3
2016,Colon,65
2016,Breast,282
2016,Brain,28
2016,Bladder,1
2019,Breast,323
2019,Brain,32
2019,Colon,61
2019,Esophagus,2
2019,Prostate,75
2019,Lung,46
2019,Pancreas,8
2019,Rectum,17
2019,Stomach,7
2014,Bladder,1
2014,Brain,34
2014,Breast,241
2014,Colon,61
2014,Esophagus,2
2014,Liver,14
2014,Lung,42
2014,Pancreas,9
2014,Prostate,55
2014,Rectum,25
2014,Stomach,8
2020,Breast,153
2018,Brain,32
2018,Breast,320
2018,Colon,57
2018,Liver,11
2018,Lung,41
2018,Pancreas,8
2018,Prostate,64
2018,Rectum,14
2018,Stomach,7
2015,Bladder,2
2015,Brain,17
2015,Breast,211
2015,Colon,45
2015,Esophagus,1
2015,Liver,8
2015,Lung,30
2015,Stomach,6
2015,Pancreas,8
2015,Prostate,39
2015,Rectum,15
2021,Lung,30
2018,Esophagus,3
2017,Stomach,9
2017,Rectum,26
2017,Prostate,53
2017,Pancreas,17
2017,Lung,52
2017,Liver,8
2017,Esophagus,1
2017,Colon,46
2017,Breast,273
2017,Brain,26
2021,Colon,54
2020,Liver,3
2020,Esophagus,2
2020,Lung,51
2020,Pancreas,11
2019,Liver,12
2021,Bladder,2
2021,Brain,27
2021,Breast,99
2021,Esophagus,2
2021,Prostate,74
2021,Liver,8
2021,Pancreas,9
2021,Rectum,22
2021,Stomach,10
2013,Bladder,2
2013,Brain,18
2013,Breast,311
2021,Liver,7
2021,Brain,41
2020,Rectum,14
2020,Prostate,30
2019,Breast,273
2019,Esophagus,3
2020,Brain,45
2020,Stomach,5
2020,Breast,217
2020,Esophagus,2
2020,Colon,39
2020,Liver,12
2020,Pancreas,13
2020,Lung,12
2016,Stomach,9
2016,Rectum,23
2016,Prostate,56
2016,Pancreas,10
2016,Lung,19
2016,Liver,5
2016,Colon,67
2016,Breast,209
2016,Brain,18
2016,Bladder,1
2019,Brain,42
2019,Colon,51
2019,Liver,9
2019,Lung,19
2019,Pancreas,12
2019,Prostate,29
2019,Rectum,16
2019,Stomach,9
2014,Bladder,3
2014,Brain,21
2014,Breast,179
2014,Colon,52
2014,Lung,19
2014,Pancreas,1
2014,Prostate,51
2014,Rectum,18
2014,Stomach,6
2018,Brain,36
2018,Colon,62
2018,Esophagus,3
2018,Liver,12
2018,Pancreas,11
2018,Prostate,30
2018,Rectum,18
2018,Stomach,4
2015,Bladder,2
2015,Brain,17
2015,Breast,206
2015,Colon,31
2015,Lung,14
2015,Prostate,27
2015,Rectum,10
2015,Stomach,1
2017,Stomach,1
2017,Rectum,19
2017,Prostate,54
2017,Pancreas,3
2017,Lung,9
2017,Liver,6
2017,Colon,47
2017,Breast,230
2017,Brain,35
2018,Lung,21
2018,Breast,217
2021,Stomach,7
2021,Breast,232
2021,Colon,60
2021,Esophagus,3
2021,Lung,15
2021,Pancreas,12
2021,Prostate,22
2021,Rectum,22
2013,Bladder,2
2013,Brain,21
2013,Breast,198
2013,Colon,66
2013,Liver,2
2013,Lung,10
2013,Pancreas,2
2013,Prostate,69
2013,Rectum,20
2013,Stomach,5
2021,Breast,1
2020,Rectum,2
2020,Breast,1
2020,Colon,3
2020,Stomach,1
2019,Colon,6
2018,Lung,3
2019,Breast,2
2016,Rectum,1
2016,Pancreas,1
2016,Colon,1
2016,Breast,1
2019,Rectum,1
2019,Stomach,2
2018,Colon,2
2018,Prostate,1
2018,Rectum,1
2016,Lung,1
2017,Rectum,2
2017,Colon,6
2021,Colon,4
2021,Rectum,1
2021,Colon,7
2018,Breast,2
2020,Breast,1
2020,Rectum,1
2019,Colon,5
2020,Colon,6
2016,Rectum,1
2016,Colon,6
2019,Breast,2
2019,Rectum,1
2019,Stomach,1
2014,Colon,7
2014,Stomach,2
2018,Colon,5
2018,Lung,1
2018,Rectum,1
2018,Stomach,1
2015,Breast,2
2015,Colon,4
2015,Rectum,1
2017,Lung,1
2017,Colon,4
2017,Breast,2
2021,Lung,1
2013,Breast,4
2013,Colon,6
2021,Brain,6
2020,Colon,1
2020,Liver,1
2020,Lung,3
2020,Prostate,2
2018,Brain,4
2019,Brain,7
2016,Rectum,1
2016,Lung,1
2016,Colon,4
2016,Breast,19
2016,Brain,8
2019,Colon,4
2020,Brain,5
2020,Breast,9
2019,Breast,6
2019,Liver,1
2019,Lung,4
2019,Rectum,5
2019,Stomach,2
2014,Brain,7
2014,Breast,31
2014,Colon,11
2014,Lung,1
2014,Prostate,1
2014,Stomach,1
2018,Breast,27
2018,Colon,5
2018,Liver,1
2018,Lung,2
2018,Stomach,2
2015,Brain,4
2015,Breast,8
2015,Colon,1
2015,Pancreas,1
2015,Prostate,1
2017,Stomach,2
2017,Rectum,3
2017,Lung,1
2017,Liver,1
2017,Colon,5
2017,Breast,21
2017,Brain,6
2013,Brain,8
2021,Breast,1
2021,Colon,7
2021,Liver,3
2013,Breast,16
2021,Lung,1
2021,Rectum,1
2013,Colon,6
2013,Liver,1
2013,Lung,2
2013,Rectum,1
2013,Stomach,2
2013,Breast,380
2021,Esophagus,5
2020,Colon,78
2020,Liver,9
2020,Prostate,30
2020,Pancreas,6
2013,Lung,28
2013,Stomach,6
2019,Pancreas,12
2019,Liver,12
2016,Stomach,8
2016,Rectum,34
2016,Prostate,1
2016,Pancreas,13
2016,Lung,28
2016,Liver,12
2016,Esophagus,6
2016,Colon,68
2016,Breast,460
2016,Brain,27
2016,Bladder,22
2020,Rectum,48
2018,Colon,95
2020,Lung,58
2020,Stomach,12
2020,Breast,486
2019,Brain,35
2019,Bladder,9
2019,Breast,571
2019,Colon,115
2019,Esophagus,8
2019,Lung,47
2019,Prostate,3
2019,Rectum,34
2019,Stomach,11
2014,Bladder,7
2014,Brain,27
2014,Breast,435
2014,Colon,68
2014,Esophagus,5
2014,Liver,8
2014,Lung,39
2014,Pancreas,9
2014,Prostate,19
2014,Rectum,22
2014,Stomach,19
2020,Bladder,6
2013,Rectum,28
2018,Bladder,7
2018,Brain,31
2018,Breast,583
2018,Esophagus,6
2018,Liver,17
2018,Lung,44
2018,Pancreas,10
2018,Prostate,1
2018,Rectum,37
2018,Stomach,10
2015,Pancreas,8
2015,Prostate,1
2015,Bladder,13
2015,Brain,24
2015,Breast,322
2015,Colon,80
2015,Stomach,8
2015,Esophagus,4
2015,Liver,7
2015,Lung,33
2015,Rectum,26
2013,Prostate,13
2013,Esophagus,5
2020,Esophagus,6
2020,Brain,48
2017,Stomach,3
2017,Rectum,37
2017,Prostate,3
2017,Pancreas,11
2017,Lung,36
2017,Liver,10
2017,Esophagus,6
2017,Colon,90
2017,Breast,535
2017,Brain,22
2017,Bladder,17
2013,Bladder,11
2013,Brain,30
2013,Colon,65
2013,Liver,5
2013,Pancreas,7
2021,Bladder,11
2021,Brain,38
2021,Breast,548
2021,Liver,12
2021,Lung,48
2021,Pancreas,4
2021,Prostate,25
2021,Rectum,51
2021,Stomach,14
2021,Colon,82
2013,Breast,59
2020,Colon,22
2020,Prostate,1
2020,Stomach,1
2020,Rectum,4
2016,Stomach,1
2016,Rectum,3
2016,Pancreas,1
2016,Lung,1
2016,Liver,2
2016,Colon,26
2016,Breast,47
2018,Breast,63
2019,Breast,47
2019,Liver,2
2019,Rectum,2
2014,Breast,36
2014,Colon,17
2014,Rectum,2
2014,Stomach,1
2013,Lung,1
2020,Liver,1
2020,Breast,45
2020,Bladder,1
2019,Colon,11
2018,Colon,16
2018,Liver,1
2018,Lung,2
2018,Rectum,3
2015,Bladder,1
2015,Breast,40
2015,Colon,9
2015,Lung,1
2015,Prostate,1
2021,Breast,49
2017,Stomach,1
2017,Rectum,2
2017,Lung,1
2017,Liver,2
2017,Colon,10
2017,Breast,52
2017,Bladder,1
2013,Bladder,1
2013,Colon,21
2013,Rectum,1
2021,Colon,15
2021,Rectum,2
2013,Bladder,5
2013,Colon,55
2020,Brain,14
2020,Lung,36
2020,Pancreas,3
2020,Rectum,15
2021,Esophagus,5
2016,Stomach,4
2016,Rectum,24
2016,Prostate,48
2016,Pancreas,3
2016,Lung,35
2016,Liver,2
2016,Esophagus,2
2016,Colon,32
2016,Breast,186
2016,Brain,10
2016,Bladder,4
2013,Rectum,16
2021,Bladder,6
2019,Bladder,5
2019,Breast,163
2019,Colon,39
2019,Esophagus,1
2019,Pancreas,2
2019,Prostate,79
2018,Rectum,14
2018,Bladder,2
2014,Rectum,13
2014,Bladder,3
2014,Brain,14
2014,Breast,200
2014,Colon,43
2014,Esophagus,1
2014,Lung,26
2014,Pancreas,3
2014,Prostate,62
2014,Stomach,1
2013,Pancreas,3
2020,Prostate,81
2020,Stomach,3
2019,Brain,8
2019,Rectum,23
2019,Lung,24
2020,Colon,35
2018,Brain,21
2018,Breast,99
2018,Colon,42
2018,Esophagus,1
2018,Liver,3
2018,Lung,34
2018,Pancreas,3
2018,Prostate,59
2020,Breast,188
2020,Esophagus,1
2020,Liver,1
2015,Stomach,1
2015,Bladder,1
2015,Brain,12
2015,Breast,159
2015,Colon,23
2015,Esophagus,1
2015,Liver,1
2015,Lung,42
2015,Prostate,42
2015,Rectum,7
2013,Brain,11
2020,Bladder,4
2017,Stomach,1
2017,Rectum,17
2017,Prostate,72
2017,Pancreas,2
2017,Lung,50
2017,Liver,2
2017,Colon,46
2017,Breast,163
2017,Brain,19
2017,Bladder,1
2013,Breast,208
2013,Esophagus,2
2013,Lung,18
2013,Prostate,44
2013,Stomach,3
2021,Brain,17
2021,Breast,278
2021,Colon,50
2021,Liver,1
2021,Lung,56
2021,Prostate,55
2021,Rectum,12
2021,Stomach,1
2013,Liver,1
2013,Esophagus,9
2020,Bladder,10
2020,Colon,77
2020,Lung,2
2020,Pancreas,1
2020,Prostate,1
2016,Stomach,1
2016,Rectum,23
2016,Prostate,4
2016,Pancreas,1
2016,Lung,1
2016,Liver,1
2016,Colon,66
2016,Breast,362
2016,Bladder,5
2013,Rectum,15
2013,Colon,69
2019,Breast,408
2019,Liver,1
2019,Lung,1
2019,Pancreas,1
2019,Prostate,1
2019,Rectum,30
2014,Bladder,5
2014,Breast,333
2014,Colon,57
2014,Esophagus,7
2014,Liver,1
2014,Lung,42
2014,Prostate,3
2014,Rectum,20
2014,Stomach,3
2013,Breast,370
2019,Colon,87
2018,Breast,417
2018,Bladder,12
2018,Colon,90
2018,Lung,1
2018,Pancreas,1
2018,Prostate,3
2018,Rectum,34
2019,Bladder,10
2015,Bladder,4
2015,Breast,229
2015,Colon,56
2015,Lung,1
2015,Prostate,3
2015,Rectum,17
2020,Liver,1
2020,Rectum,26
2020,Stomach,1
2017,Rectum,29
2017,Prostate,2
2017,Pancreas,1
2017,Liver,1
2017,Colon,69
2017,Breast,456
2017,Bladder,7
2020,Breast,325
2021,Bladder,8
2013,Bladder,9
2013,Lung,29
2013,Prostate,17
2013,Stomach,3
2021,Breast,440
2021,Colon,77
2021,Lung,1
2021,Prostate,2
2021,Rectum,36
2020,Breast,5
2020,Colon,1
2016,Rectum,1
2016,Colon,1
2016,Breast,7
2019,Breast,7
2019,Colon,1
2014,Breast,1
2014,Colon,2
2018,Colon,5
2018,Breast,2
2018,Liver,1
2018,Rectum,1
2017,Colon,2
2017,Breast,2
2013,Colon,1
2013,Rectum,1
2021,Breast,4
2021,Colon,3
2014,Breast,1
2013,Breast,1
2013,Colon,6
2013,Rectum,5
2020,Colon,10
2020,Liver,1
2020,Lung,1
2020,Rectum,4
2020,Stomach,1
2020,Pancreas,1
2016,Rectum,2
2016,Pancreas,1
2016,Colon,13
2016,Breast,61
2019,Colon,11
2019,Pancreas,1
2019,Rectum,7
2019,Stomach,1
2014,Breast,37
2014,Colon,9
2014,Rectum,3
2014,Stomach,1
2021,Pancreas,1
2020,Breast,36
2018,Breast,63
2018,Colon,14
2018,Liver,1
2018,Lung,2
2018,Rectum,10
2018,Stomach,2
2019,Liver,2
2015,Brain,1
2015,Breast,37
2015,Colon,7
2015,Lung,1
2015,Pancreas,1
2015,Stomach,1
2019,Breast,25
2017,Stomach,1
2017,Rectum,7
2017,Liver,2
2017,Colon,20
2017,Breast,67
2013,Breast,38
2013,Liver,1
2013,Prostate,1
2013,Stomach,1
2021,Breast,34
2021,Colon,13
2021,Prostate,1
2021,Rectum,7
2021,Stomach,3
2013,Brain,24
2020,Liver,1
2020,Breast,128
2020,Pancreas,1
2020,Prostate,4
2020,Brain,19
2020,Colon,31
2020,Lung,13
2020,Stomach,1
2020,Bladder,1
2016,Stomach,6
2016,Rectum,25
2016,Prostate,23
2016,Pancreas,1
2016,Lung,31
2016,Liver,4
2016,Esophagus,2
2016,Colon,36
2016,Breast,149
2016,Brain,27
2013,Colon,23
2020,Rectum,9
2019,Brain,22
2019,Colon,30
2019,Lung,11
2019,Prostate,4
2019,Rectum,12
2014,Brain,23
2014,Breast,105
2014,Colon,30
2014,Esophagus,2
2014,Lung,39
2014,Pancreas,2
2014,Rectum,22
2014,Stomach,8
2021,Bladder,2
2018,Brain,28
2018,Colon,32
2018,Lung,15
2018,Prostate,16
2018,Rectum,17
2018,Breast,153
2015,Brain,16
2015,Breast,92
2015,Colon,40
2015,Esophagus,1
2015,Liver,2
2015,Lung,26
2015,Prostate,3
2015,Rectum,16
2015,Stomach,6
2019,Breast,151
2019,Liver,2
2017,Stomach,2
2017,Rectum,17
2017,Prostate,11
2017,Lung,21
2017,Liver,3
2017,Esophagus,3
2017,Colon,35
2017,Breast,178
2017,Brain,30
2013,Breast,87
2013,Esophagus,1
2013,Liver,4
2013,Lung,28
2013,Pancreas,2
2013,Rectum,8
2013,Stomach,3
2021,Brain,24
2021,Breast,130
2021,Colon,20
2021,Esophagus,1
2021,Liver,1
2021,Lung,8
2021,Prostate,7
2021,Rectum,6
2021,Stomach,2
2019,Brain,16
2020,Rectum,30
2020,Stomach,4
2020,Esophagus,1
2020,Breast,209
2020,Brain,17
2020,Colon,66
2020,Liver,5
2020,Lung,53
2020,Prostate,85
2019,Colon,88
2016,Stomach,3
2016,Rectum,42
2016,Prostate,75
2016,Pancreas,1
2016,Lung,46
2016,Liver,4
2016,Esophagus,1
2016,Colon,86
2016,Breast,159
2016,Brain,15
2016,Bladder,6
2020,Bladder,2
2019,Breast,191
2019,Esophagus,1
2019,Lung,53
2019,Pancreas,1
2019,Rectum,33
2019,Stomach,4
2014,Brain,16
2014,Breast,132
2014,Colon,85
2014,Esophagus,1
2014,Lung,59
2014,Prostate,62
2014,Rectum,30
2014,Stomach,3
2018,Brain,16
2018,Colon,73
2018,Liver,6
2018,Lung,52
2018,Prostate,63
2018,Rectum,29
2018,Stomach,3
2015,Lung,38
2015,Prostate,45
2015,Rectum,18
2015,Stomach,6
2015,Bladder,2
2015,Brain,13
2015,Breast,105
2015,Colon,56
2015,Liver,1
2021,Pancreas,3
2021,Breast,273
2018,Breast,179
2018,Bladder,7
2017,Stomach,5
2017,Rectum,32
2017,Prostate,74
2017,Pancreas,1
2017,Lung,45
2017,Liver,3
2017,Colon,84
2017,Breast,161
2017,Brain,12
2017,Bladder,5
2013,Bladder,4
2013,Brain,15
2013,Breast,138
2013,Colon,79
2013,Liver,4
2013,Lung,36
2013,Pancreas,5
2013,Prostate,80
2013,Rectum,32
2013,Stomach,5
2019,Prostate,80
2021,Bladder,3
2021,Brain,18
2021,Colon,72
2021,Liver,3
2021,Lung,49
2021,Prostate,75
2021,Rectum,31
2021,Stomach,3
2019,Colon,24
2019,Bladder,1
2020,Breast,19
2020,Prostate,18
2020,Stomach,4
2016,Stomach,1
2016,Rectum,3
2016,Prostate,23
2016,Liver,1
2016,Colon,28
2016,Breast,46
2016,Bladder,1
2020,Colon,12
2020,Rectum,3
2019,Breast,28
2019,Liver,2
2019,Pancreas,2
2019,Prostate,30
2019,Rectum,7
2019,Stomach,1
2014,Bladder,1
2014,Breast,40
2014,Colon,27
2014,Prostate,23
2014,Rectum,4
2014,Stomach,1
2018,Breast,26
2018,Colon,21
2018,Liver,1
2018,Prostate,19
2018,Rectum,5
2020,Bladder,2
2015,Breast,35
2015,Colon,26
2015,Prostate,14
2015,Rectum,5
2018,Bladder,2
2017,Rectum,7
2017,Prostate,14
2017,Pancreas,2
2017,Liver,3
2017,Colon,16
2017,Breast,26
2017,Bladder,1
2013,Bladder,4
2013,Breast,50
2013,Colon,13
2013,Prostate,9
2013,Rectum,10
2021,Breast,21
2021,Bladder,2
2021,Colon,8
2021,Liver,1
2021,Prostate,16
2021,Rectum,2
2021,Stomach,1
2020,Colon,9
2019,Breast,8
2016,Rectum,1
2016,Lung,1
2016,Liver,1
2016,Colon,5
2016,Breast,23
2019,Colon,10
2019,Prostate,8
2019,Rectum,2
2014,Breast,27
2014,Colon,8
2014,Lung,1
2014,Rectum,1
2020,Breast,9
2020,Stomach,1
2020,Prostate,7
2018,Breast,10
2018,Liver,1
2018,Prostate,2
2018,Rectum,1
2015,Breast,19
2015,Colon,6
2015,Lung,1
2015,Rectum,1
2018,Colon,6
2017,Rectum,1
2017,Colon,7
2017,Breast,21
2013,Breast,10
2013,Colon,10
2013,Esophagus,1
2013,Rectum,1
2021,Breast,10
2021,Colon,4
2021,Lung,1
2021,Prostate,1
2021,Stomach,2
2016,Prostate,2
2016,Colon,1
2019,Rectum,1
2014,Breast,2
2014,Colon,4
2014,Prostate,1
2014,Rectum,1
2020,Colon,1
2018,Colon,1
2015,Prostate,1
2015,Breast,1
2015,Colon,7
2015,Rectum,1
2017,Rectum,1
2017,Colon,1
2017,Breast,1
2013,Breast,2
2013,Colon,4
2013,Liver,1
2020,Colon,5
2020,Rectum,2
2016,Stomach,1
2016,Rectum,3
2016,Prostate,17
2016,Liver,1
2016,Colon,15
2016,Breast,32
2016,Bladder,2
2019,Rectum,6
2019,Breast,32
2019,Colon,9
2019,Prostate,2
2018,Rectum,3
2014,Prostate,9
2014,Bladder,1
2014,Breast,65
2014,Colon,13
2014,Rectum,4
2018,Liver,1
2018,Bladder,1
2018,Breast,41
2018,Colon,8
2018,Prostate,2
2020,Liver,1
2020,Breast,22
2015,Breast,22
2015,Colon,10
2015,Prostate,7
2015,Rectum,1
2015,Stomach,2
2017,Rectum,2
2017,Prostate,2
2017,Pancreas,1
2017,Liver,1
2017,Colon,14
2017,Breast,45
2013,Esophagus,1
2013,Breast,68
2013,Colon,17
2013,Prostate,5
2021,Breast,28
2021,Colon,8
2021,Liver,1
2021,Rectum,2
2021,Stomach,1
2020,Pancreas,15
2020,Breast,152
2020,Colon,67
2020,Esophagus,3
2020,Lung,8
2020,Prostate,22
2020,Rectum,29
2020,Stomach,8
2018,Colon,69
2016,Stomach,5
2016,Rectum,28
2016,Prostate,35
2016,Pancreas,9
2016,Lung,19
2016,Liver,7
2016,Esophagus,2
2016,Colon,73
2016,Breast,134
2016,Brain,12
2016,Bladder,1
2019,Brain,17
2019,Esophagus,4
2019,Lung,5
2019,Breast,166
2019,Colon,52
2019,Liver,14
2019,Pancreas,13
2019,Prostate,20
2019,Rectum,37
2019,Stomach,9
2014,Lung,25
2014,Stomach,6
2014,Bladder,4
2014,Brain,4
2014,Breast,134
2014,Colon,64
2014,Esophagus,1
2014,Liver,3
2014,Pancreas,4
2014,Prostate,28
2014,Rectum,17
2018,Bladder,1
2018,Brain,13
2018,Breast,161
2018,Esophagus,3
2018,Liver,13
2018,Lung,18
2018,Pancreas,9
2018,Prostate,19
2018,Stomach,10
2018,Rectum,24
2015,Rectum,17
2015,Liver,3
2015,Bladder,1
2015,Brain,4
2015,Breast,136
2015,Colon,52
2015,Esophagus,1
2015,Lung,21
2015,Pancreas,6
2015,Prostate,22
2015,Stomach,6
2020,Liver,9
2013,Bladder,4
2013,Brain,11
2013,Breast,148
2013,Colon,61
2013,Liver,3
2017,Stomach,7
2017,Rectum,23
2017,Prostate,32
2017,Pancreas,19
2017,Lung,15
2017,Liver,8
2017,Esophagus,7
2013,Lung,14
2017,Colon,69
2017,Breast,180
2013,Pancreas,3
2017,Brain,13
2017,Bladder,1
2013,Prostate,55
2013,Rectum,16
2013,Stomach,8
2021,Prostate,28
2021,Liver,15
2020,Brain,31
2021,Colon,59
2021,Brain,31
2021,Breast,166
2021,Lung,16
2021,Pancreas,14
2021,Rectum,22
2021,Stomach,3
2020,Breast,5
2020,Rectum,1
2020,Colon,2
2016,Rectum,2
2016,Colon,6
2016,Breast,16
2019,Breast,8
2019,Colon,6
2014,Breast,11
2014,Colon,5
2014,Rectum,1
2018,Breast,16
2015,Breast,13
2015,Colon,2
2013,Breast,11
2013,Colon,8
2017,Rectum,1
2017,Colon,5
2017,Breast,10
2021,Rectum,1
2021,Breast,11
2021,Colon,7
2020,Breast,24
2020,Rectum,3
2020,Stomach,1
2016,Stomach,2
2016,Rectum,2
2016,Colon,9
2016,Breast,18
2019,Breast,25
2020,Colon,10
2020,Liver,1
2018,Brain,1
2019,Brain,4
2019,Colon,3
2019,Rectum,1
2014,Breast,24
2014,Colon,9
2014,Rectum,2
2018,Breast,20
2018,Colon,9
2018,Stomach,1
2020,Brain,2
2015,Breast,20
2015,Colon,5
2015,Stomach,1
2013,Bladder,1
2013,Breast,24
2013,Colon,7
2013,Rectum,1
2013,Stomach,3
2017,Stomach,3
2017,Rectum,1
2017,Liver,1
2017,Colon,6
2017,Breast,27
2021,Breast,8
2021,Colon,3
2021,Pancreas,1
2021,Rectum,1
2021,Breast,215
2020,Liver,8
2020,Lung,25
2020,Bladder,3
2020,Breast,220
2020,Colon,40
2020,Prostate,3
2020,Stomach,6
2020,Pancreas,6
2016,Stomach,5
2016,Rectum,25
2016,Prostate,2
2016,Pancreas,7
2016,Lung,23
2016,Liver,10
2016,Esophagus,3
2016,Colon,53
2016,Breast,280
2016,Bladder,4
2021,Lung,24
2019,Lung,27
2019,Breast,247
2019,Colon,47
2019,Liver,8
2019,Pancreas,9
2019,Prostate,1
2019,Rectum,20
2019,Stomach,4
2018,Pancreas,9
2014,Bladder,2
2014,Breast,181
2014,Colon,56
2014,Esophagus,6
2014,Liver,6
2014,Lung,27
2014,Pancreas,5
2014,Prostate,2
2014,Rectum,16
2014,Stomach,4
2018,Colon,65
2018,Bladder,7
2018,Breast,258
2018,Esophagus,2
2018,Liver,24
2018,Lung,25
2018,Prostate,3
2018,Rectum,19
2018,Stomach,4
2019,Bladder,6
2015,Bladder,1
2015,Breast,159
2015,Colon,38
2015,Esophagus,2
2015,Liver,5
2015,Lung,20
2015,Pancreas,5
2015,Rectum,12
2015,Stomach,2
2013,Bladder,5
2013,Breast,172
2013,Colon,46
2013,Esophagus,6
2013,Liver,9
2013,Lung,15
2013,Pancreas,2
2013,Prostate,1
2013,Rectum,22
2013,Stomach,8
2017,Stomach,4
2017,Rectum,26
2017,Prostate,2
2017,Pancreas,9
2017,Lung,21
2017,Liver,7
2017,Esophagus,7
2017,Colon,64
2017,Breast,244
2017,Bladder,5
2020,Rectum,27
2021,Colon,56
2021,Esophagus,4
2021,Liver,18
2021,Pancreas,7
2021,Prostate,1
2021,Rectum,22
2021,Stomach,5
2020,Colon,16
2020,Pancreas,1
2020,Prostate,1
2016,Stomach,1
2016,Colon,11
2016,Breast,62
2020,Breast,117
2019,Colon,19
2014,Breast,19
2014,Colon,9
2021,Breast,103
2019,Breast,85
2018,Breast,85
2018,Colon,13
2018,Rectum,1
2015,Breast,38
2015,Colon,7
2013,Breast,33
2013,Colon,6
2017,Stomach,1
2017,Rectum,3
2017,Colon,16
2017,Breast,43
2021,Colon,14
2021,Rectum,1
2021,Stomach,2
2020,Breast,19
2020,Liver,1
2020,Prostate,37
2020,Rectum,24
2020,Stomach,4
2016,Stomach,3
2016,Rectum,16
2016,Prostate,25
2016,Liver,1
2016,Esophagus,1
2016,Colon,33
2016,Breast,58
2016,Brain,16
2016,Bladder,1
2019,Liver,2
2019,Brain,22
2019,Colon,29
2019,Lung,2
2019,Prostate,59
2019,Stomach,1
2014,Colon,33
2014,Bladder,5
2014,Brain,24
2014,Breast,54
2014,Esophagus,1
2014,Pancreas,2
2014,Prostate,30
2014,Rectum,13
2019,Rectum,11
2020,Colon,46
2019,Breast,72
2019,Bladder,1
2018,Bladder,3
2018,Brain,24
2018,Breast,76
2018,Liver,5
2018,Prostate,39
2018,Rectum,12
2020,Brain,22
2015,Brain,11
2015,Breast,44
2015,Colon,19
2015,Pancreas,1
2015,Prostate,19
2015,Rectum,15
2015,Stomach,2
2018,Colon,25
2013,Rectum,15
2013,Bladder,1
2013,Brain,9
2013,Breast,77
2013,Colon,27
2013,Prostate,13
2013,Stomach,3
2017,Stomach,1
2017,Rectum,14
2017,Prostate,48
2017,Liver,1
2017,Esophagus,1
2017,Colon,32
2017,Breast,82
2017,Brain,25
2017,Bladder,2
2021,Brain,12
2021,Breast,18
2021,Colon,43
2021,Prostate,36
2021,Rectum,18
2021,Stomach,4
2021,Liver,3
2020,Lung,2
2020,Pancreas,1
2020,Prostate,3
2016,Stomach,1
2016,Rectum,9
2016,Prostate,5
2016,Pancreas,3
2016,Lung,2
2016,Liver,1
2016,Colon,11
2016,Breast,38
2016,Brain,4
2016,Bladder,4
2019,Brain,25
2019,Colon,11
2019,Esophagus,1
2019,Liver,1
2019,Pancreas,2
2019,Prostate,4
2019,Rectum,10
2019,Stomach,7
2014,Bladder,3
2014,Brain,7
2014,Breast,46
2014,Colon,18
2014,Liver,5
2014,Lung,4
2014,Prostate,4
2014,Rectum,8
2014,Stomach,5
2021,Lung,2
2020,Rectum,22
2020,Stomach,4
2019,Lung,4
2019,Bladder,4
2019,Breast,58
2018,Brain,6
2018,Colon,16
2018,Liver,3
2018,Lung,3
2018,Pancreas,3
2018,Prostate,8
2018,Rectum,15
2018,Stomach,3
2015,Bladder,3
2015,Brain,8
2015,Breast,32
2015,Colon,14
2015,Liver,2
2015,Lung,5
2015,Pancreas,1
2015,Prostate,8
2015,Rectum,5
2021,Breast,56
2020,Brain,14
2020,Liver,1
2020,Colon,17
2020,Breast,48
2013,Bladder,3
2013,Brain,10
2013,Breast,77
2013,Colon,12
2013,Liver,6
2013,Lung,10
2013,Prostate,9
2013,Rectum,17
2013,Stomach,1
2018,Breast,45
2017,Stomach,4
2017,Rectum,12
2017,Prostate,8
2017,Lung,5
2017,Liver,1
2017,Esophagus,1
2017,Colon,17
2017,Breast,40
2017,Brain,11
2017,Bladder,4
2020,Bladder,2
2018,Bladder,1
2021,Bladder,1
2021,Brain,15
2021,Colon,18
2021,Esophagus,2
2021,Liver,5
2021,Pancreas,1
2021,Prostate,12
2021,Rectum,14
2021,Stomach,2
2021,Breast,84
2020,Brain,11
2020,Colon,16
2018,Brain,1
2020,Breast,78
2020,Lung,1
2020,Stomach,4
2020,Rectum,8
2016,Stomach,2
2016,Rectum,4
2016,Pancreas,1
2016,Lung,6
2016,Liver,1
2016,Colon,13
2016,Breast,38
2019,Brain,5
2019,Colon,17
2019,Lung,7
2019,Prostate,1
2019,Rectum,10
2019,Stomach,3
2014,Breast,10
2014,Colon,3
2014,Lung,1
2014,Pancreas,1
2014,Rectum,1
2018,Breast,71
2018,Colon,20
2018,Lung,6
2018,Rectum,5
2018,Stomach,2
2019,Breast,50
2015,Breast,16
2015,Colon,8
